Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Linear Probing,0.1,0,0.31322,0.2465,0.27011,0.12729,10009.0
Linear Probing,0.1,1,0.13157,0.08485,0.08404,0.31866,10009.0
Linear Probing,0.1,2,0.10637,0.07912,0.12151,0.08919,10009.0
Linear Probing,0.1,3,0.10841,0.08198,0.08697,0.0648,10009.0
Linear Probing,0.1,4,0.89266,0.0816,0.10725,0.07305,10009.0
Linear Probing,0.3,0,0.64821,0.40448,0.39983,0.09341,10009.0
Linear Probing,0.3,1,0.11537,0.10031,0.10654,0.07214,10009.0
Linear Probing,0.3,2,0.09439,0.08964,0.08858,0.06888,10009.0
Linear Probing,0.3,3,0.16168,0.14582,0.12051,0.08909,10009.0
Linear Probing,0.3,4,0.09012,0.0779,0.09772,0.06824,10009.0
Linear Probing,0.5,0,0.21512,0.08749,0.42377,0.06363,10009.0
Linear Probing,0.5,1,0.12164,0.1072,0.10934,0.08067,10009.0
Linear Probing,0.5,2,0.14813,0.12789,0.12051,0.08412,10009.0
Linear Probing,0.5,3,0.30579,0.09626,0.09725,0.06428,10009.0
Linear Probing,0.5,4,0.1297,0.09721,0.1154,0.07901,10009.0
Linear Probing,0.7,0,0.10871,0.09886,0.1862,0.06765,10009.0
Linear Probing,0.7,1,0.11092,0.1474,0.11763,0.09754,10009.0
Linear Probing,0.7,2,0.11471,0.15381,0.1531,0.08779,10009.0
Linear Probing,0.7,3,0.84296,0.61516,0.11822,0.07776,10009.0
Linear Probing,0.7,4,0.09652,0.1028,0.14595,0.08021,10009.0
Linear Probing,0.9,0,0.11705,0.26076,0.08795,0.77269,10009.0
Linear Probing,0.9,1,0.14758,0.45784,0.14625,0.10582,10009.0
Linear Probing,0.9,2,0.15552,4.36106,0.14608,0.08074,10009.0
Linear Probing,0.9,3,0.47971,33.67036,0.18735,0.10439,10009.0
Linear Probing,0.9,4,0.11075,0.15888,0.14672,0.09939,10009.0
Quadratic Probing,0.1,0,0.64684,0.32203,0.43924,0.2859,10009.0
Quadratic Probing,0.1,1,0.09503,0.12127,0.83277,0.08848,10009.0
Quadratic Probing,0.1,2,0.12507,0.14803,0.14537,0.07904,10009.0
Quadratic Probing,0.1,3,0.07787,0.09063,0.08626,0.07729,10009.0
Quadratic Probing,0.1,4,0.08336,0.07517,0.11114,0.07895,10009.0
Quadratic Probing,0.3,0,0.35267,0.24682,0.27487,0.08993,10009.0
Quadratic Probing,0.3,1,0.14598,0.12991,0.10293,0.09622,10009.0
Quadratic Probing,0.3,2,0.0848,0.08906,0.09437,0.07411,10009.0
Quadratic Probing,0.3,3,0.09167,0.09576,0.09398,0.07851,10009.0
Quadratic Probing,0.3,4,0.10185,0.09059,0.08875,0.06899,10009.0
Quadratic Probing,0.5,0,0.18367,0.29893,0.29817,0.09714,10009.0
Quadratic Probing,0.5,1,2.56004,0.12575,0.1054,0.08068,10009.0
Quadratic Probing,0.5,2,0.06783,0.07761,0.06446,0.0541,10009.0
Quadratic Probing,0.5,3,0.20217,0.16104,0.11709,0.08161,10009.0
Quadratic Probing,0.5,4,0.05987,0.07695,0.06407,0.05551,10009.0
Quadratic Probing,0.7,0,0.17776,0.17831,0.16186,0.09734,10009.0
Quadratic Probing,0.7,1,0.10001,0.11405,0.16479,0.0918,10009.0
Quadratic Probing,0.7,2,0.10599,0.10728,0.10098,0.08546,10009.0
Quadratic Probing,0.7,3,0.09421,0.11246,0.13908,0.08789,10009.0
Quadratic Probing,0.7,4,0.1008,0.1213,0.12009,0.09447,10009.0
Quadratic Probing,0.9,0,0.14297,0.15937,0.13446,0.10592,10009.0
Quadratic Probing,0.9,1,0.11372,1.30683,0.131,0.10776,10009.0
Quadratic Probing,0.9,2,0.11485,0.14563,0.12039,0.0942,10009.0
Quadratic Probing,0.9,3,0.15569,0.20035,0.20226,0.12691,10009.0
Quadratic Probing,0.9,4,0.10519,0.13497,0.11957,0.09366,10009.0
LinkedList,0.1,0,1.4063,0.24447,1.50606,1.32885,10009.0
LinkedList,0.1,1,0.17843,0.08036,0.18912,0.21507,10009.0
LinkedList,0.1,2,0.24596,0.04213,0.19108,0.13921,10009.0
